design,copy0,copy1,computehistogram,computehistogram_partition,resort,processsymbols,movenodes,assigncodeword,obj1,obj2
0000,1,1,1,1,1,1,1,1,36.102,745
0001,1,1,1,1,1,1,1,2,36.220,809
0002,1,1,1,1,1,1,2,1,36.497,789
0003,1,1,1,1,1,1,2,2,37.455,827
0004,1,1,1,1,2,1,1,1,35.682,903
0005,1,1,1,1,2,1,1,2,36.440,943
0006,1,1,1,1,2,1,2,1,37.345,937
0007,1,1,1,1,2,1,2,2,37.532,968
0008,1,1,1,2,1,1,1,1,35.442,783
0009,1,1,1,2,1,1,1,2,34.819,802
0010,1,1,1,2,1,1,2,1,35.857,792
0011,1,1,1,2,1,1,2,2,35.872,880
0012,1,1,1,2,2,1,1,1,35.369,900
0013,1,1,1,2,2,1,1,2,36.159,972
0014,1,1,1,2,2,1,2,1,36.328,948
0015,1,1,1,2,2,1,2,2,37.048,992
0016,1,1,1,4,1,1,1,1,36.697,790
0017,1,1,1,4,1,1,1,2,36.129,848
0018,1,1,1,4,1,1,2,1,35.322,842
0019,1,1,1,4,1,1,2,2,36.269,915
0020,1,1,1,4,2,1,1,1,35.827,967
0021,1,1,1,4,2,1,1,2,35.369,1017
0022,1,1,1,4,2,1,2,1,36.138,995
0023,1,1,1,4,2,1,2,2,36.154,1042
0024,1,1,2,1,1,1,1,1,44.501,946
0025,1,1,2,1,1,1,1,2,43.650,949
0026,1,1,2,1,1,1,2,1,43.891,906
0027,1,1,2,1,1,1,2,2,45.202,987
0028,1,1,2,1,2,1,1,1,43.286,1043
0029,1,1,2,1,2,1,1,2,42.659,1074
0030,1,1,2,1,2,1,2,1,43.676,1048
0031,1,1,2,1,2,1,2,2,44.780,1121
0032,1,1,2,2,1,1,1,1,43.052,864
0033,1,1,2,2,1,1,1,2,42.923,967
0034,1,1,2,2,1,1,2,1,43.758,947
0035,1,1,2,2,1,1,2,2,44.476,994
0036,1,1,2,2,2,1,1,1,44.377,1064
0037,1,1,2,2,2,1,1,2,44.226,1090
0038,1,1,2,2,2,1,2,1,43.463,1076
0039,1,1,2,2,2,1,2,2,45.112,1129
0040,1,1,2,4,1,1,1,1,36.517,959
0041,1,1,2,4,1,1,1,2,36.240,1005
0042,1,1,2,4,1,1,2,1,36.142,977
0043,1,1,2,4,1,1,2,2,36.526,1044
0044,1,1,2,4,2,1,1,1,36.467,1222
0045,1,1,2,4,2,1,1,2,35.332,1165
0046,1,1,2,4,2,1,2,1,36.214,1140
0047,1,1,2,4,2,1,2,2,37.836,1182
0048,1,1,4,1,1,1,1,1,42.927,1033
0049,1,1,4,1,1,1,1,2,43.254,1109
0050,1,1,4,1,1,1,2,1,42.064,1104
0051,1,1,4,1,1,1,2,2,42.759,1118
0052,1,1,4,1,2,1,1,1,42.189,1158
0053,1,1,4,1,2,1,1,2,43.550,1173
0054,1,1,4,1,2,1,2,1,42.469,1151
0055,1,1,4,1,2,1,2,2,42.452,1225
0056,1,1,4,2,1,1,1,1,43.102,1025
