copy0,copy1,processsymbols,createtree,createtree_partition,assigncodeword,assigncodeword_partition,obj1,obj2
0000,1,1,1,1,1,1,1,36.102,745
0001,1,1,1,1,1,1,2,35.596,757
0002,1,1,1,1,1,1,4,36.634,774
0003,1,1,1,1,1,2,1,36.815,817
0004,1,1,1,1,1,2,2,36.220,809
0005,1,1,1,1,1,2,4,36.448,817
0006,1,1,1,1,1,4,1,35.816,917
0007,1,1,1,1,1,4,2,35.596,916
0008,1,1,1,1,1,4,4,37.102,876
0009,1,1,1,1,2,1,1,35.556,794
0010,1,1,1,1,2,1,2,35.596,814
0011,1,1,1,1,2,1,4,35.700,847
0012,1,1,1,1,2,2,1,35.670,837
0014,1,1,1,1,2,2,4,36.432,888
0015,1,1,1,1,2,4,1,36.190,953
0016,1,1,1,1,2,4,2,36.217,944
0017,1,1,1,1,2,4,4,35.600,942
0018,1,1,1,1,4,1,1,35.563,890
0019,1,1,1,1,4,1,2,35.685,899
0020,1,1,1,1,4,1,4,36.091,851
0021,1,1,1,1,4,2,1,34.848,937
0024,1,1,1,1,4,4,1,35.879,1014
0025,1,1,1,1,4,4,2,35.289,1033
0026,1,1,1,1,4,4,4,36.087,1025
0027,1,1,1,2,1,1,1,35.752,871
0028,1,1,1,2,1,1,2,34.788,855
0029,1,1,1,2,1,1,4,35.260,850
0030,1,1,1,2,1,2,1,35.058,897
0031,1,1,1,2,1,2,2,35.711,898
0032,1,1,1,2,1,2,4,35.140,913
0033,1,1,1,2,1,4,1,35.383,985
0034,1,1,1,2,1,4,2,35.940,985
0035,1,1,1,2,1,4,4,36.133,995
0036,1,1,1,2,2,1,1,32.580,959
0037,1,1,1,2,2,1,2,31.654,988
0038,1,1,1,2,2,1,4,33.790,987
0039,1,1,1,2,2,2,1,33.615,1000
0040,1,1,1,2,2,2,2,33.224,977
0041,1,1,1,2,2,2,4,31.622,967
0042,1,1,1,2,2,4,1,33.179,1117
0043,1,1,1,2,2,4,2,32.521,1059
0044,1,1,1,2,2,4,4,32.978,1080
0045,1,1,1,2,4,1,1,32.801,1054
0046,1,1,1,2,4,1,2,32.469,1092
0047,1,1,1,2,4,1,4,32.952,1040
0048,1,1,1,2,4,2,1,32.359,1097
0049,1,1,1,2,4,2,2,32.029,1080
0050,1,1,1,2,4,2,4,32.583,1104
0051,1,1,1,2,4,4,1,33.041,1185
0052,1,1,1,2,4,4,2,32.839,1201
0053,1,1,1,2,4,4,4,33.143,1187
0054,1,1,1,4,1,1,1,33.984,1014
0055,1,1,1,4,1,1,2,34.052,997
0056,1,1,1,4,1,1,4,34.079,998
0057,1,1,1,4,1,2,1,33.777,1042
0058,1,1,1,4,1,2,2,34.092,1041
0059,1,1,1,4,1,2,4,33.981,1065
0060,1,1,1,4,1,4,1,34.256,1147
0061,1,1,1,4,1,4,2,34.400,1156
0062,1,1,1,4,1,4,4,34.581,1150
0063,1,1,1,4,2,1,1,30.381,1164
0064,1,1,1,4,2,1,2,29.977,1168
0065,1,1,1,4,2,1,4,30.295,1184
0066,1,1,1,4,2,2,1,30.252,1247
0067,1,1,1,4,2,2,2,30.268,1198
0068,1,1,1,4,2,2,4,31.201,1239
0069,1,1,1,4,2,4,1,30.649,1274
0070,1,1,1,4,2,4,2,30.000,1319
0071,1,1,1,4,2,4,4,30.445,1294
0072,1,1,1,4,4,1,1,30.233,1162
0073,1,1,1,4,4,1,2,30.006,1204
0074,1,1,1,4,4,1,4,30.122,1183
0075,1,1,1,4,4,2,1,30.098,1252
0076,1,1,1,4,4,2,2,30.633,1279
0077,1,1,1,4,4,2,4,29.761,1276
0078,1,1,1,4,4,4,1,29.779,1335
0079,1,1,1,4,4,4,2,29.776,1337
0080,1,1,1,4,4,4,4,29.896,1335
0081,1,1,2,1,1,1,1,37.702,773
